DataSource,tblName,tblObjectId,tblCreateDate,tblModifyDate,colName,colObjectId,colColumnId,colUserTypeId,colMaxLength,colIsNullable,colIsIdentity
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,add_fed,55086,15,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,add_local,55086,27,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,add_state,55086,21,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,allow_c,55086,106,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,allow_ft,55086,110,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,allow_m,55086,107,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,allow_q,55086,108,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,allow_y,55086,109,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ann_deductions,55086,179,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ann_other_inc,55086,178,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ann_tax_credit,55086,180,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,card_requ,55086,3,175,1,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,chk_locn,55086,10,175,4,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,earn_inc,55086,29,175,1,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,eic_c,55086,146,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,eic_ft,55086,150,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,eic_m,55086,147,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,eic_q,55086,148,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,eic_y,55086,149,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,empl_no,55086,1,56,4,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fed_dep,55086,14,52,2,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fed_exempt,55086,12,175,1,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fed_marital,55086,13,175,2,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fed_tax_calc_cd,55086,175,175,1,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fedtax_c,55086,116,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fedtax_ft,55086,120,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fedtax_m,55086,117,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fedtax_q,55086,118,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fedtax_y,55086,119,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fic_exempt,55086,28,175,1,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fictax_c,55086,121,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fictax_ft,55086,125,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fictax_m,55086,122,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fictax_q,55086,123,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fictax_y,55086,124,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fiearn_c,55086,81,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fiearn_ft,55086,85,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fiearn_m,55086,82,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fiearn_q,55086,83,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,fiearn_y,55086,84,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,flsa_amount,55086,158,106,9,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,flsa_cycle_hrs,55086,156,106,5,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,flsa_cycle_y,55086,155,56,4,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,flsa_hours,55086,157,106,9,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ftearn_c,55086,76,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ftearn_ft,55086,80,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ftearn_m,55086,77,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ftearn_q,55086,78,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,ftearn_y,55086,79,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,l2earn_y,55086,98,106,9,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,last_paid,55086,11,58,4,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loc_dep,55086,26,52,2,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loc_exempt,55086,22,175,1,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loc_marital,55086,25,175,2,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,locl,55086,23,175,6,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loctax_c,55086,141,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loctax_ft,55086,145,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loctax_m,55086,142,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loctax_q,55086,143,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loctax_y,55086,144,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loearn_c,55086,101,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loearn_ft,55086,105,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loearn_m,55086,102,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loearn_q,55086,103,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,loearn_y,55086,104,106,9,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lt2tax_y,55086,138,106,9,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv_date,55086,30,58,4,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv1_bal,55086,32,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv1_cd,55086,31,175,3,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv1_ear,55086,34,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv1_tak,55086,33,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv10_bal,55086,68,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv10_cd,55086,67,175,3,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv10_ear,55086,70,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv10_tak,55086,69,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv2_bal,55086,36,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv2_cd,55086,35,175,3,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv2_ear,55086,38,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv2_tak,55086,37,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv3_bal,55086,40,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv3_cd,55086,39,175,3,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv3_ear,55086,42,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv3_tak,55086,41,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv4_bal,55086,44,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv4_cd,55086,43,175,3,1,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv4_ear,55086,46,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv4_tak,55086,45,106,5,0,0
fakesms,bk_payroll,55086,2016-10-15 13:08:09,2019-12-21 10:39:11,lv5_bal,55086,48,106,5,0,0
